polett;10.5.6.25;10.5.11;
islpctrl;10.5.7.184;10.5.1;
islpctrl;10.5.7.184;10.5.41;
islpctrl;10.5.7.184;10.5.71;
islpnet;10.5.7.185;;
islpdev;10.5.7.176;;
valloire;10.5.7.67;;
mathilde;10.5.7.64;;
islpsvg1;10.5.7.220;;
islptrn;10.5.7.221;;
geruset;10.4.23.221;;
islpap;10.5.7.178;;
oostkcv;11.1.46.220;11.1.32;
oostkcv;11.1.46.220;11.1.46;
oostkcv;11.1.46.220;11.41.73;
oostkcv;11.1.46.220;11.41.69;
oostkcv;11.1.46.220;11.41.68;
oostkcv;11.1.46.220;11.41.67;
oostkcv;11.1.46.220;11.41.66;
oostkcv;11.1.46.220;11.41.65;
oostkcv;11.1.46.220;11.41.51;
oostkcv;11.1.46.220;11.41.46;
oostkcv;11.1.46.220;11.41.32;
oostkcv;11.1.46.220;11.1.51;
brugpro;11.41.20.220;;
blankenb;11.41.33.220;11.1.33;
blankenb;11.41.33.220;11.41.30;
blankenb;11.41.33.220;11.41.33;
bgl7;11.41.37.220;11.41.26;
bgl7;11.41.37.220;11.41.27;
bgl7;11.41.37.220;11.41.37;
knokke;11.41.40.220;11.1.36;
knokke;11.41.40.220;11.1.40;
knokke;11.41.40.220;11.41.62;
knokke;11.41.40.220;11.41.61;
knokke;11.41.40.220;11.41.40;
oostende;11.41.42.220;11.41.42;
oostende;11.41.42.220;11.41.52;
oostende;11.41.42.220;11.41.58;
oostende;11.41.42.220;11.41.57;
oostende;11.41.42.220;11.41.56;
oostende;11.41.42.220;11.41.55;
oostende;11.41.42.220;11.41.54;
oostende;11.41.42.220;11.41.53;
middecv;11.41.43.220;11.41.43;
middecv;11.41.43.220;11.41.70;
kouter;11.41.49.220;11.1.39;
kouter;11.41.49.220;11.1.49;
kouter;11.41.49.220;11.41.49;
kouter;11.41.49.220;11.41.39;
kouter;11.41.49.220;11.41.38;
kouter;11.41.49.220;11.41.29;
kouter;11.41.49.220;11.41.28;
kortrijk;11.42.1.220;11.42.1;
kortrijk;11.42.1.220;11.42.30;
kortrijk;11.42.1.220;11.42.59;
kortrijk;11.42.1.220;11.42.58;
kortrijk;11.42.1.220;11.42.57;
kortrijk;11.42.1.220;11.42.56;
kortrijk;11.42.1.220;11.42.55;
kortrijk;11.42.1.220;11.42.54;
kortrijk;11.42.1.220;11.42.51;
kortrijk;11.42.1.220;11.42.50;
harelcv;11.42.34.220;11.42.34;
harelcv;11.42.34.220;11.42.43;
menencv;11.42.37.220;11.2.37;
menencv;11.42.37.220;11.42.44;
menencv;11.42.37.220;11.42.64;
menencv;11.42.37.220;11.42.63;
menencv;11.42.37.220;11.42.62;
menencv;11.42.37.220;11.42.61;
menencv;11.42.37.220;11.42.47;
midow;11.42.39.220;11.2.33;
midow;11.42.39.220;11.42.29;
midow;11.42.39.220;11.42.52;
midow;11.42.39.220;11.42.48;
midow;11.42.39.220;11.42.45;
midow;11.42.39.220;11.42.39;
midow;11.42.39.220;11.42.33;
mira;11.42.40.220;11.2.40;
mira;11.42.40.220;11.42.31;
mira;11.42.40.220;11.42.46;
mira;11.42.40.220;11.42.41;
mira;11.42.40.220;11.42.40;
mira;11.42.40.220;11.42.32;
iepercv;11.43.1.220;11.3.33;
iepercv;11.43.1.220;11.3.39;
iepercv;11.43.1.220;11.43.46;
iepercv;11.43.1.220;11.43.45;
iepercv;11.43.1.220;11.43.44;
iepercv;11.43.1.220;11.43.43;
iepercv;11.43.1.220;11.43.38;
iepercv;11.43.1.220;11.43.4;
iepercv;11.43.1.220;11.43.3;
iepercv;11.43.1.220;11.43.2;
iepercv;11.43.1.220;11.43.1;
iepercv;11.43.1.220;11.3.43;
iepercv;11.43.1.220;11.3.42;
